SITE_ID,SITE_NAME,AREA_NAME_SUB_DISTRICT,X_LONGITUDE,Y_LATITUDE,CITY_OR_DATI_II,AREA,BRANCH,PROVINCE,REGION,SITE_OWNERSHIP,TOWER_OWNERSHIP,COLOCATION_Y_OR_N,SITE_TYPE_GF_OR_RT_OR_MICROCELL_OR_INDOOR,HEIGHT_EXISTING_BUILDING_M,HEIGHT_TOWER_M,BTS_COVERAGE_TYPE_MACRO_OR_MICRO_OR_IBS
02PMR0044,SIMPANG_PANE_TB,PANOMBEIAN PANEI,99.01863,2.92255,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,52,MACRO
02PMR0045,SIMBOLON_TENGKOH_PL,PANOMBEIAN PANEI,99.02127,2.9591,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,62,MACRO
02PMR0046,TIGA_BALATA_EP,JORLANG HATARAN,99.02175,2.86653,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,EMA,EMA,Y,GF,,80,MACRO
02PMR0047,SIBUNGA_BUNGA_TIGA_BALATA_PL,JORLANG HATARAN,99.02544,2.85672,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,45,MACRO
02PMR0048,TIGA_DOLOK_PL,DOLOK PANRIBUAN,99.03114,2.81253,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,70,MACRO
02PMR0049,SIANTAR_KABANJAHE_PL,PANOMBEIAN PANEI,99.03642,2.9232,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,48,MACRO
02PMR0050,JORLANG_HANTAR_TB,JORLANG HATARAN,99.04092,2.84774,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,42,MACRO
02PMR0051,MANIK_REJO_MT,SIANTAR,99.06766,2.90505,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,DMT,DMT,Y,GF,,72,MACRO
02PMR0052,DOLOK_MARAJA_CM,TAPIAN DOLOK,99.06816,3.01926,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,CMI,CMI,Y,GF,,52,MACRO
02PMR0053,BERINGIN_SIANTAR_ST,TAPIAN DOLOK,99.08478,3.03203,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,STP,STP,Y,GF,,71,MACRO
02PMR0054,SINAKSAK_EP,TAPIAN DOLOK,99.08522,3.03605,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,EMA,EMA,Y,GF,,80,MACRO
02PMR0056,KARYA_SINAKSAK_CM,TAPIAN DOLOK,99.0885,3.02085,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,CMI,CMI,Y,GF,,52,MACRO
